triggerType,triggerId,rewardType,rewardId,amount,rewardGroup,requiredUndiscoveredSubstanceIds
OutputRule,twin_park,Node,node_act_talk,1,,
OutputRule,twin_park,Substance,person_tom,1,,
,,,,,,
OutputRule,twin_park_tenderness_talk,Substance,person_friend_tom,1,reward_person_friend_tom,
OutputRule,tom_tenderness_talk,Substance,person_friend_tom,1,reward_person_friend_tom,
,,,,,,
OutputRule,twin_park_friend_tom_cinematic_allure_talk,Substance,person_captive_tom,1,reward_person_captive_tom,
OutputRule,friend_tom_cinematic_allure_talk,Substance,person_captive_tom,1,reward_person_captive_tom,
,,,,,,
,,,,,,
OutputRule,twin_park_friendliness_talk,Substance,person_friend_james,1,reward_person_friend_james,
OutputRule,james_friendliness_talk,Substance,person_friend_james,1,reward_person_friend_james,
,,,,,,
OutputRule,twin_park_friend_james_musical_temptation_talk,Substance,person_captive_james,1,reward_person_captive_james,
OutputRule,friend_james_musical_temptation_talk,Substance,person_captive_james,1,reward_person_captive_james,
,,,,,,
,,,,,,
,,,,,,
OutputRule,twin_park_lowered_boundaries_talk,Substance,person_friend_emily,1,reward_person_friend_emily,
OutputRule,emily_lowered_boundaries_talk,Substance,person_friend_emily,1,reward_person_friend_emily,
,,,,,,
OutputRule,twin_park_friend_emily_artistic_temptation_talk,Substance,person_captive_emily,1,reward_person_captive_emily,
OutputRule,friend_emily_artistic_temptation_talk,Substance,person_captive_emily,1,reward_person_captive_emily,
