ruleId,substanceId,amount,requiredUndiscoveredSubstanceIds
worker_hallway_death,evidence_noisy_observation_file,1,
worker_hallway_death,evidence_footsteps_beyond_wall,1,
worker_flashlight_hallway_death,evidence_noisy_observation_file,1,
worker_flashlight_hallway_death,evidence_footsteps_beyond_wall,1,
worker_camera_hallway_death,evidence_shaken_entity_photo,1,
worker_camera_hallway_death,evidence_footsteps_beyond_wall,1,
worker_record_hallway_death,evidence_footsteps_beyond_wall,1,
worker_record_hallway_death,evidence_noisy_observation_file,1,
worker_room_alive,evidence_hidden_room_refuge_record,1,
worker_room_alive,evidence_hidden_room_note,1,
worker_record_room_alive,evidence_hidden_room_refuge_record,1,
worker_record_room_alive,evidence_hidden_room_note,1,
worker_hallway_hidden_alive,evidence_entity_stopped_at_door,1,
worker_hallway_hidden_alive,evidence_hidden_room_refuge_record,1,
worker_record_hallway_hidden_alive,evidence_entity_stopped_at_door,1,
worker_record_hallway_hidden_alive,evidence_hidden_room_refuge_record,1,
worker_audio_hallway_alive,evidence_escaped_by_sound,1,
worker_audio_hallway_alive,evidence_return_timing_audio,1,
worker_record_audio_hallway_alive,evidence_escaped_by_sound,1,
worker_record_audio_hallway_alive,evidence_return_timing_audio,1,
worker_hallway_camera_hidden_alive,evidence_hidden_room_pit_photo_wall,1,
worker_hallway_camera_hidden_alive,evidence_lighting_cycle_record,1,
worker_camera_hallway_hidden_alive,evidence_shaken_entity_photo,1,
worker_camera_hallway_hidden_alive,evidence_hidden_room_note,1,
worker_record_hallway_camera_hidden_alive,evidence_hidden_room_pit_photo_wall,1,
worker_record_hallway_camera_hidden_alive,evidence_lighting_cycle_record,1,
worker_record_camera_hallway_hidden_alive,evidence_shaken_entity_photo,1,
worker_record_camera_hallway_hidden_alive,evidence_hidden_room_note,1,
worker_room_hallway_death,evidence_footsteps_waiting_outside,1,
worker_room_hallway_death,evidence_final_handwritten_shape,1,
worker_record_hidden_hallway_death,evidence_footsteps_waiting_outside,1,
worker_record_hidden_hallway_death,evidence_final_handwritten_shape,1,
worker_record_hidden_camera_hallway_death,evidence_black_afterimage_photo,1,
worker_record_hidden_camera_hallway_death,evidence_final_handwritten_shape,1,
worker_record_hidden_flashlight_hallway_death,evidence_footsteps_waiting_outside,1,
worker_record_hidden_flashlight_hallway_death,evidence_final_handwritten_shape,1,
worker_room_audio_hallway_alive,evidence_return_timing_audio,1,
worker_room_audio_hallway_alive,evidence_escaped_by_sound,1,
worker_record_hidden_audio_hallway_alive,evidence_return_timing_audio,1,
worker_record_hidden_audio_hallway_alive,evidence_escaped_by_sound,1,
worker_record_hidden_camera_audio_hallway_alive,evidence_black_afterimage_photo,1,
worker_record_hidden_camera_audio_hallway_alive,evidence_return_timing_audio,1,
worker_record_camera_hidden_audio_hallway_alive,evidence_hidden_room_pit_photo_inside,1,
worker_record_camera_hidden_audio_hallway_alive,evidence_return_timing_audio,1,
worker_record_hidden_flashlight_audio_hallway_alive,evidence_return_timing_audio,1,
worker_record_hidden_flashlight_audio_hallway_alive,evidence_escaped_by_sound,1,
worker_record_hidden_all_tools_hallway_alive,evidence_black_afterimage_photo,1,
worker_record_hidden_all_tools_hallway_alive,evidence_return_timing_audio,1,
worker_pit_missing_fallback,evidence_pit_missing_report,1,
worker_pit_missing_fallback,evidence_meaningless_pit_observation,1,
worker_record_pit_missing_fallback,evidence_pit_missing_report,1,
worker_record_pit_missing_fallback,evidence_meaningless_pit_observation,1,
worker_hallway_hole_missing,evidence_pit_missing_report,1,
worker_hallway_hole_missing,evidence_lighting_cycle_record,1,
worker_record_hallway_hole_missing,evidence_pit_missing_report,1,
worker_record_hallway_hole_missing,evidence_lighting_cycle_record,1,
worker_room_hole_missing,evidence_pit_missing_report,1,
worker_room_hole_missing,evidence_hidden_room_pit_photo_inside,1,
worker_record_room_hole_missing,evidence_pit_missing_report,1,
worker_record_room_hole_missing,evidence_hidden_room_pit_photo_inside,1,
worker_hallway_hidden_hole_missing,evidence_pit_missing_report,1,
worker_hallway_hidden_hole_missing,evidence_hidden_room_pit_photo_wall,1,
worker_record_hallway_hidden_hole_missing,evidence_pit_missing_report,1,
worker_record_hallway_hidden_hole_missing,evidence_hidden_room_pit_photo_wall,1,
worker_camera_hole_missing,evidence_pit_missing_report,1,
worker_camera_hole_missing,evidence_black_afterimage_photo,1,
worker_record_camera_hole_missing,evidence_pit_missing_report,1,
worker_record_camera_hole_missing,evidence_black_afterimage_photo,1,
worker_audio_camera_hole_missing,evidence_pit_missing_report,1,
worker_audio_camera_hole_missing,evidence_black_afterimage_photo,1,
worker_record_audio_camera_hole_missing,evidence_pit_missing_report,1,
worker_record_audio_camera_hole_missing,evidence_black_afterimage_photo,1,
worker_flashlight_pit_alive,evidence_empty_pit_light_record,1,
worker_flashlight_pit_alive,evidence_meaningless_pit_observation,1,
worker_record_flashlight_pit_alive,evidence_pit_grid_handwritten,1,
worker_record_flashlight_pit_alive,evidence_chase_sound_cut_at_pit,1,
worker_flashlight_camera_pit_alive,evidence_clear_pit_grid_photo,1,
worker_flashlight_camera_pit_alive,evidence_pit_photo_without_entity,1,
worker_record_flashlight_camera_pit_alive,evidence_clear_pit_grid_photo,1,
worker_record_flashlight_camera_pit_alive,evidence_pit_photo_without_entity,1,
worker_hole_hallway_death,evidence_pit_return_chase_report,1,
worker_hole_hallway_death,evidence_footsteps_waiting_outside,1,
worker_record_hole_hallway_death,evidence_pit_return_chase_report,1,
worker_record_hole_hallway_death,evidence_footsteps_waiting_outside,1,
worker_flashlight_hole_hallway_death,evidence_pit_return_chase_report,1,
worker_flashlight_hole_hallway_death,evidence_footsteps_waiting_outside,1,
worker_record_flashlight_hole_hallway_death,evidence_pit_return_chase_report,1,
worker_record_flashlight_hole_hallway_death,evidence_footsteps_waiting_outside,1,
worker_camera_hole_hallway_death,evidence_pit_return_chase_report,1,
worker_camera_hole_hallway_death,evidence_black_afterimage_photo,1,
worker_record_camera_hole_hallway_death,evidence_pit_return_chase_report,1,
worker_record_camera_hole_hallway_death,evidence_black_afterimage_photo,1,
worker_hole_audio_hallway_alive,evidence_return_timing_audio,1,
worker_hole_audio_hallway_alive,evidence_escaped_by_sound,1,
worker_record_hole_audio_hallway_alive,evidence_return_timing_audio,1,
worker_record_hole_audio_hallway_alive,evidence_escaped_by_sound,1,
worker_final_no_camera_alive,evidence_abnormal_sound_fell_into_pit,1,
worker_final_no_camera_alive,evidence_recovered_sanity_hidden_room,1,
worker_final_no_recovery_alive,evidence_clear_entity_photo_pit,1,
worker_final_no_recovery_alive,evidence_exhausted_pit_survival_report,1,
worker_final_no_flashlight_missing,evidence_pit_missing_report,1,
worker_final_no_flashlight_missing,evidence_black_afterimage_photo,1,
worker_final_basement_success,evidence_lured_entity_handwritten,1,
worker_final_basement_success,evidence_clear_entity_photo_pit,1,
worker_final_basement_success,evidence_recovered_sanity_hidden_room,1,
worker_final_basement_success,evidence_basement_entrance_revealed,1,
worker_dead_hallway_chase_scan,evidence_noisy_observation_file,1,
worker_dead_visual_contact_scan,evidence_footsteps_waiting_outside,1,
worker_dead_pit_return_chase_scan,evidence_pit_return_chase_report,1,
